medium;medium_description;BiGG;substance
SMM;Synthetic Minimal Medium;na1;
SMM;;cl;
SMM;;k;
SMM;;mg2;
SMM;;so4;
SMM;;h2o;
SMM;;nh4;
SMM;;ca2;
SMM;;pi;
SMM;;fe2;
SMM;;mn2;
SMM;;glc__D;
SMM;;arg__L;
SMM;;cys__L;
SMM;;pro__L;
SMM;;nac;
SMM;;thm;
SMM;;pnto__R;
SMM;;h;
CGXlab;;nh4;
CGXlab;;nh4;
CGXlab;;so4;
CGXlab;;k;
CGXlab;;pi;
CGXlab;;urea;
CGXlab;;ca2;
CGXlab;;cl;
CGXlab;;mg2;
CGXlab;;fe2;
CGXlab;;mn2;
CGXlab;;ni2;
CGXlab;;cu2;
CGXlab;;zn2;
CGXlab;;btn;
CGXlab;;glc__D;
CGXlab;;h2o;
CGXlab;;o2;
CGXlab;;na1;
CGXlab;;h;
CGXlab;;34dhbz;
