medium;description;BiGG;name
LB;Lysogeny broth;adn;Adenosine
LB;;ala__L;L-Alanine
LB;;amp;AMP
LB;;arg__L;L-Arginine
LB;;aso3;Arsenite 
LB;;asp__L;L-Aspartate
LB;;ca2;Ca2+
LB;;cbl1;Vitamin B12
LB;;cd2;Cadmium
LB;;cl;Cl-
LB;;cmp;CMP
LB;;cobalt2;Co2+
LB;;cro4;Chromate 
LB;;cu2;Cu2+
LB;;cys__L;L-Cysteine
LB;;dad_2;Deoxyadenosine 
LB;;dcyt;Deoxycytidine
LB;;fe2;Fe2+
LB;;fe3;Fe3+
LB;;fol;Folate
LB;;glc__D;D-Glucose
LB;;glu__L;L-Glutamate
LB;;gly;Glycine
LB;;gmp;GMP
LB;;gsn;Guanosine
LB;;h2o;H2O
LB;;h2s;Hydrogen sulfide
LB;;h;H+
LB;;hg2;Hg2+ 
LB;;his__L;L-Histidine
LB;;hxan;Hypoxanthine
LB;;ile__L;L-Isoleucine
LB;;ins;Inosine
LB;;k;K+
LB;;leu__L;L-Leucine
LB;;lipoate;Lipoate
LB;;lys__L;L-Lysine
LB;;met__L;L-Methionine
LB;;mg2;Mg
LB;;mn2;Mn2+
LB;;mobd;Molybdate
LB;;na1;Na+
LB;;nac;Isonicotinic acid
LB;;nh4;Ammonium
LB;;ni2;Ni2+
LB;;o2;O2
LB;;phe__L;L-Phenylalanine
LB;;pheme;Protoheme
LB;;pi;Phosphate
LB;;pnto__R;PAN
LB;;pro__L;L-Proline
LB;;pydx;Pyridoxal
LB;;ribflv;Riboflavin
LB;;ser__L;L-Serine
LB;;so4;Sulfate
LB;;thm;Thiamin
LB;;thr__L;L-Threonine
LB;;thymd;Thymidine
LB;;trp__L;L-Tryptophan
LB;;tyr__L;L-Tyrosine
LB;;ump;UMP
LB;;ura;Uracil
LB;;uri;Uridine
LB;;val__L;L-Valine
LB;;zn2;Zn2+
LB[-O2];Lysogeny broth (anaerobic);adn;Adenosine
LB[-O2];;ala__L;L-Alanine
LB[-O2];;amp;AMP
LB[-O2];;arg__L;L-Arginine
LB[-O2];;aso3;Arsenite 
LB[-O2];;asp__L;L-Aspartate
LB[-O2];;ca2;Ca2+
LB[-O2];;cbl1;Vitamin B12
LB[-O2];;cd2;Cadmium 
LB[-O2];;cl;Cl-
LB[-O2];;cmp;CMP
LB[-O2];;cobalt2;Co2+
LB[-O2];;cro4;Chromate 
LB[-O2];;cu2;Cu2+
LB[-O2];;cys__L;L-Cysteine
LB[-O2];;dad_2;Deoxyadenosine 
LB[-O2];;dcyt;Deoxycytidine
LB[-O2];;fe2;Fe2+
LB[-O2];;fe3;Fe3+
LB[-O2];;fol;Folate
LB[-O2];;glc__D;D-Glucose
LB[-O2];;glu__L;L-Glutamate
LB[-O2];;gly;Glycine
LB[-O2];;gmp;GMP
LB[-O2];;gsn;Guanosine
LB[-O2];;h2o;H2O
LB[-O2];;h2s;Hydrogen sulfide
LB[-O2];;h;H+
LB[-O2];;hg2;Hg2+ 
LB[-O2];;his__L;L-Histidine
LB[-O2];;hxan;Hypoxanthine
