type,equation
ATP,atp_c + h2o_c --> adp_c + h_c + pi_c
CTP,ctp_c + h2o_c --> cdp_c + h_c + pi_c
GTP,gtp_c + h2o_c --> gdp_c + h_c + pi_c
UTP,utp_c + h2o_c --> udp_c + h_c + pi_c
ITP,itp_c + h2o_c --> idp_c + h_c + pi_c
NADH,nadh_c --> h_c + nad_c
NADPH,nadph_c --> h_c + nadp_c
FADH2,fadh2_c --> 2 h_c + fad_c
FMNH2,fmnh2_c --> 2 h_c + fmn_c
Q8H2,q8h2_c --> 2 h_c + q8_c
MQL8,mql8_c --> 2 h_c + mqn8_c
DMMQL8,2dmmql8_c --> 2 h_c + 2dmmq8_c
ACCOA,h2o_c + accoa_c --> h_c + ac_c + coa_c
GLU,glu__L_c + h2o_c --> akg_c + nh4_c + 2 h_c
PROTON,h_p --> h_c
