,locus_tag,protein_id,name
0,I6J27_00005,QRP18895,transporter
1,I6J27_00010,QRP18896,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
2,I6J27_00015,QRP18897,alanine racemase
3,I6J27_00020,QRP18898,glutamine--fructose-6-phosphate transaminase (isomerizing)
4,I6J27_00025,QRP18899,dienelactone hydrolase family protein
5,I6J27_00030,QRP18900,hypothetical protein
6,I6J27_00035,QRP18901,hypothetical protein
7,I6J27_00040,QRP18902,phosphoglucosamine mutase
8,I6J27_00045,QRP18903,30S ribosomal protein S9
9,I6J27_00050,QRP18904,50S ribosomal protein L13
10,I6J27_00055,QRP18905,WXG100 family type VII secretion target
11,I6J27_00060,QRP18906,WXG100 family type VII secretion target
12,I6J27_00065,QRP18907,type VII secretion-associated protein
13,I6J27_00070,QRP20074,type VII secretion protein EccCb
14,I6J27_00075,QRP18908,hypothetical protein
15,I6J27_00080,QRP18909,hypothetical protein
16,I6J27_00085,QRP18910,cation transporter
17,I6J27_00090,18,IS1249 family transposase
18,I6J27_00095,19,IS3 family transposase
19,I6J27_00100,20,IS256 family transposase
20,I6J27_00105,QRP18911,single-stranded DNA-binding protein
21,I6J27_00110,QRP18912,hypothetical protein
22,I6J27_00115,QRP18913,antirestriction protein ArdA
23,I6J27_00120,QRP18914,ATP-binding protein
24,I6J27_00125,QRP18915,IS21 family transposase
25,I6J27_00130,QRP18916,DUF4192 domain-containing protein
26,I6J27_00135,QRP18917,recombinase family protein
27,I6J27_00140,QRP18918,HsdR family type I site-specific deoxyribonuclease
28,I6J27_00145,QRP18919,restriction endonuclease subunit S
29,I6J27_00150,QRP18920,type I restriction-modification system subunit M
30,I6J27_00155,QRP18921,recombinase family protein
31,I6J27_00160,32,type VII secretion protein EccC
32,I6J27_00165,QRP18922,type VII secretion integral membrane protein EccD
33,I6J27_00170,QRP18923,S8 family serine peptidase
34,I6J27_00175,QRP18924,TIGR02611 family protein
35,I6J27_00180,QRP18925,type VII secretion protein EccB
36,I6J27_00185,QRP18926,tRNA pseudouridine(38-40) synthase TruA
37,I6J27_00190,QRP18927,trimeric intracellular cation channel family protein
38,I6J27_00195,QRP18928,50S ribosomal protein L17
39,I6J27_00200,QRP18929,DNA-directed RNA polymerase subunit alpha
40,I6J27_00205,QRP18930,30S ribosomal protein S4
41,I6J27_00210,QRP18931,30S ribosomal protein S11
42,I6J27_00215,QRP18932,30S ribosomal protein S13
43,I6J27_00220,QRP18933,translation initiation factor IF-1
44,I6J27_00225,QRP18934,"L,D-transpeptidase"
45,I6J27_00230,QRP18935,type I methionyl aminopeptidase
46,I6J27_00235,QRP18936,adenylate kinase
47,I6J27_00240,QRP18937,preprotein translocase subunit SecY
48,I6J27_00245,QRP18938,50S ribosomal protein L15
49,I6J27_00250,QRP18939,50S ribosomal protein L30
50,I6J27_00255,QRP18940,30S ribosomal protein S5
51,I6J27_00260,QRP18941,50S ribosomal protein L18
52,I6J27_00265,QRP18942,50S ribosomal protein L6
53,I6J27_00270,QRP18943,30S ribosomal protein S8
54,I6J27_00275,QRP18944,molybdopterin-guanine dinucleotide biosynthesis protein MobA
55,I6J27_00280,QRP18945,formate dehydrogenase accessory sulfurtransferase FdhD
56,I6J27_00285,QRP18946,hypothetical protein
57,I6J27_00290,QRP18947,formate/nitrite transporter family protein
58,I6J27_00295,QRP20075,sortase
59,I6J27_00300,QRP18948,IS1634 family transposase
60,I6J27_00305,61,formate/nitrite transporter family protein
61,I6J27_00310,62,hypothetical protein
62,I6J27_00315,QRP18949,choice-of-anchor M domain-containing protein
63,I6J27_00320,QRP18950,50S ribosomal protein L5
64,I6J27_00325,QRP18951,50S ribosomal protein L24
65,I6J27_00330,QRP18952,50S ribosomal protein L14
66,I6J27_00335,QRP18953,hypothetical protein
67,I6J27_00340,QRP18954,PTS transporter subunit EIIC
68,I6J27_00345,QRP18955,glycoside hydrolase family 32 protein
69,I6J27_00350,QRP20076,carbohydrate kinase
70,I6J27_00355,QRP18956,multidrug transporter
71,I6J27_00360,QRP18957,hypothetical protein
72,I6J27_00365,QRP18958,30S ribosomal protein S17
73,I6J27_00370,QRP18959,50S ribosomal protein L29
74,I6J27_00375,QRP18960,50S ribosomal protein L16
75,I6J27_00380,QRP18961,30S ribosomal protein S3
76,I6J27_00385,QRP18962,50S ribosomal protein L22
77,I6J27_00390,QRP18963,30S ribosomal protein S19
78,I6J27_00395,QRP18964,50S ribosomal protein L2
79,I6J27_00400,QRP18965,50S ribosomal protein L23
80,I6J27_00405,QRP18966,50S ribosomal protein L4
81,I6J27_00410,QRP18967,50S ribosomal protein L3
82,I6J27_00415,QRP18968,30S ribosomal protein S10
83,I6J27_00420,QRP18969,Asp23/Gls24 family envelope stress response protein
84,I6J27_00425,QRP18970,hypothetical protein
85,I6J27_00430,QRP18971,DUF2273 domain-containing protein
86,I6J27_00435,QRP18972,Asp23/Gls24 family envelope stress response protein
87,I6J27_00440,QRP18973,hypothetical protein
88,I6J27_00445,QRP18974,alkaline shock response membrane anchor protein AmaP
89,I6J27_00450,QRP18975,hypothetical protein
90,I6J27_00455,QRP18976,elongation factor Tu
91,I6J27_00460,QRP18977,elongation factor G
92,I6J27_00465,QRP18978,30S ribosomal protein S7
93,I6J27_00470,QRP18979,30S ribosomal protein S12
94,I6J27_00475,QRP18980,ribonucleoside triphosphate reductase
95,I6J27_00480,QRP20077,anaerobic ribonucleoside-triphosphate reductase activating protein
96,I6J27_00485,QRP18981,hypothetical protein
97,I6J27_00490,QRP18982,energy-coupling factor transporter transmembrane protein EcfT
98,I6J27_00495,QRP18983,ABC transporter ATP-binding protein
99,I6J27_00500,QRP18984,ECF transporter S component
100,I6J27_00505,QRP18985,IS3 family transposase
101,I6J27_00510,QRP18986,YPDG domain-containing protein
102,I6J27_00515,QRP18987,hypothetical protein
103,I6J27_00520,QRP18988,DNA-directed RNA polymerase subunit beta'
104,I6J27_00525,QRP18989,DNA-directed RNA polymerase subunit beta
105,I6J27_00530,QRP18990,DUF3068 domain-containing protein
106,I6J27_00535,QRP18991,50S ribosomal protein L7/L12
107,I6J27_00540,QRP18992,50S ribosomal protein L10
108,I6J27_00545,QRP18993,deoxyribodipyrimidine photo-lyase
109,I6J27_00550,QRP18994,IS3 family transposase
110,I6J27_00555,QRP18995,two-component sensor histidine kinase
111,I6J27_00560,QRP18996,response regulator transcription factor
112,I6J27_00565,QRP18997,IS3 family transposase
